Time_Hour,Temperature_degC,Precipitation_mm,WindDirection_16compasspoints,WindSpeed_m_s,SunshineDuration_h,Humidity_percent,Pressure_hPa
1,20.3,1.0,ENE,3.5,NaN,100,1004.6
2,20.2,0.5,NE,1.6,NaN,100,1004.5
3,20.1,0.0,NE,2.1,NaN,100,1004.8
4,20.0,0.5,NE,2.6,0.0,100,1005.1
5,19.9,0.5,NE,3.3,0.0,100,1005.4
6,20.0,1.0,NE,2.4,0.0,100,1006.1
7,20.2,1.0,NE,2.1,0.0,100,1006.4
8,20.4,0.5,NE,1.7,0.0,100,1007.1
9,20.6,0.0,NE,2.3,0.0,99,1007.5
10,21.1,0.5,NE,1.8,0.0,99,1007.8
11,21.8,0.5,NNE,2.1,0.0,98,1008.0
12,22.4,0.0,ENE,3.3,0.0,91,1007.6
13,23.0,0.0,NE,1.9,0.1,85,1007.5
14,24.6,0.0,ENE,2.9,0.1,79,1007.7
15,23.7,0.0,NE,3.4,0.0,82,1008.0
16,24.1,0.0,E,1.7,0.0,82,1008.2
17,22.9,0.0,E,2.1,0.0,82,1008.5
18,22.2,0.0,ENE,1.6,0.0,85,1009.2
19,21.8,0.0,NE,2.8,0.0,86,1009.8
20,21.2,0.0,NE,3.6,0.0,84,1010.4
21,20.9,0.0,NE,2.5,NaN,87,1010.9
22,20.7,0.0,ENE,2.9,NaN,88,1011.6
23,19.6,0.5,NE,2.7,NaN,98,1011.8
24,19.5,0.5,NE,2.3,NaN,100,1011.8
